salesdate,productid,region,freeship,discount,itemssold
10/3/2024,276,b,1,3.019,76
10/3/2024,164,e,0,4.516,193
10/3/2024,42,d,0,0.175,162
10/3/2024,269,d,0,5.916,97
10/3/2024,263,a,1,3.69,35
10/3/2024,206,b,1,0.057,58
10/3/2024,136,d,1,1.968,192
10/3/2024,256,c,1,0.702,37
10/3/2024,147,b,1,3.833,31
10/3/2024,162,e,0,7.447,72
10/3/2024,206,e,0,0.502,180
10/3/2024,201,e,1,2.281,214
10/3/2024,37,e,1,6.527,141
10/3/2024,221,b,0,0.098,89
10/3/2024,295,e,0,6.887,23
10/3/2024,65,b,1,0.277,22
10/3/2024,230,c,0,8.52,9
10/3/2024,25,e,1,2.205,123
10/3/2024,147,a,1,4.307,208
10/3/2024,227,e,1,3.221,44
10/3/2024,278,b,0,5.021,4
10/3/2024,186,e,0,5.384,84
10/3/2024,77,e,0,3.545,215
10/3/2024,110,d,0,3.847,36
10/3/2024,159,b,0,5.112,55
10/3/2024,295,e,1,5.435,172
10/3/2024,251,a,1,3.058,125
10/3/2024,163,e,1,2.468,132
10/3/2024,262,e,0,0.626,35
10/3/2024,39,b,1,3.816,126
10/3/2024,131,b,1,2.283,188
10/3/2024,285,c,1,9.695,126
10/3/2024,55,a,1,5.405,54
10/3/2024,250,b,1,6.613,47
10/3/2024,211,d,0,0.523,127
10/3/2024,123,a,1,2.956,161
10/3/2024,141,e,0,5.237,101
10/3/2024,218,e,1,6.849,129
10/3/2024,105,e,0,0.902,212
10/3/2024,26,c,1,5.621,114
10/3/2024,144,e,1,0.407,159
10/3/2024,242,a,1,7.427,107
10/3/2024,100,c,0,2.012,53
10/3/2024,61,a,1,0.603,72
10/3/2024,188,e,0,0.491,201
10/3/2024,76,b,0,3.329,37
10/3/2024,197,e,0,9.161,201
10/3/2024,141,d,0,9.061,164
10/3/2024,142,a,1,7.321,99
10/3/2024,130,b,1,0.508,132
10/3/2024,249,c,1,7.591,18
10/3/2024,227,b,1,9.81,30
10/3/2024,152,c,0,3.062,42
10/3/2024,191,b,1,8.532,25
10/3/2024,84,b,0,5.554,145
10/3/2024,188,d,1,7.929,174
10/3/2024,195,a,1,8.816,63
10/3/2024,104,a,1,2.903,117
10/3/2024,62,b,1,3.721,27
10/3/2024,38,d,1,0.013,29
10/3/2024,40,b,1,9.506,106
10/3/2024,225,d,1,8.965,117
10/3/2024,91,c,0,0.689,45
10/3/2024,235,e,1,1.534,88
10/3/2024,53,e,1,8.457,81
10/3/2024,186,b,0,4.424,147
10/3/2024,260,e,0,0.357,60
10/3/2024,65,a,0,0.719,140
10/3/2024,187,a,1,3.408,29
10/3/2024,231,b,0,1.768,21
10/3/2024,193,e,0,6.556,31
10/3/2024,59,e,0,5.664,32
10/3/2024,175,e,0,7.97,162
10/3/2024,83,c,0,9.594,193
10/3/2024,172,d,0,5.222,17
10/3/2024,199,e,1,7.927,73
10/3/2024,84,e,1,1.315,214
10/3/2024,53,d,0,6.394,120
10/3/2024,25,e,1,8.074,100
10/3/2024,157,e,0,9.841,156
10/3/2024,163,b,0,5.203,171
10/3/2024,124,a,1,7.724,213
10/3/2024,265,e,1,1.42,129
10/3/2024,136,a,1,5.133,207
10/3/2024,113,a,0,8.452,74
10/3/2024,274,b,1,5.164,146
10/3/2024,234,c,0,1.133,192
10/3/2024,49,c,0,9.634,173
10/3/2024,222,c,0,1.822,180
10/3/2024,39,c,0,9.111,25
10/3/2024,146,d,0,3.433,206
10/3/2024,228,e,1,1.712,167
10/3/2024,139,b,1,9.367,69
10/3/2024,83,d,0,1.008,24
10/3/2024,117,d,1,7.537,170
10/3/2024,297,a,1,4.101,215
10/3/2024,32,b,1,5.025,91
10/3/2024,256,e,0,3.72,163
10/3/2024,75,c,0,3.689,197
